complaint_text,category
Illegal parking next to the overflowing dustbin at the school is creating a huge mess.,other
No electricity since evening in station,electricity
Overflowing dustbin near main road,garbage
The road surface is badly damaged near the park.,roads
Garbage not collected from bus stand for 4 days,garbage
Garbage has not been collected from the hospital for morning.,garbage
Workers fixing a power line have dug up the road at the station and left it.,electricity
"A fallen street light damaged the pavement at the station, blocking traffic.",electricity
Piles of waste are blocking the main road.,garbage
Workers fixing a power line have dug up the pavement at the park and left it.,electricity
Water supply has stopped since afternoon in market,water
"A fallen street light damaged the pavement at the park, blocking traffic.",electricity
No electricity since morning in market,electricity
Stray animals are scattering trash all over the hospital.,garbage
Water supply has stopped since night in station,water
Electric wires hanging dangerously at bus stand,electricity
A transformer is sparking dangerously near the market.,electricity
Garbage has not been collected from the park for a week.,garbage
Stray animals pulling out garbage at bus stand,garbage
Water supply has stopped since evening in lane,water
The tap water supplied to the hospital is muddy and smells bad.,water
"A fallen street light damaged the pavement at the station, blocking traffic.",electricity
Drainage system blocked causing foul smell at colony,other
"Construction waste has been dumped near the station, blocking a drain.",roads
Tap water is muddy and dirty at temple,water
A burst water pipeline has created a massive pothole at the park.,water
"A fallen street light damaged the road at the park, blocking traffic.",electricity
"Construction waste has been dumped near the main road, blocking a drain.",roads
The dustbin near the park is overflowing with rubbish.,garbage
"Construction waste has been dumped near the hospital, blocking a drain.",roads
"Construction waste has been dumped near the main road, blocking a drain.",roads
"A fallen street light damaged the pavement at the park, blocking traffic.",electricity
"Construction waste has been dumped near the hospital, blocking a drain.",roads
A large pothole at the station is filled with dirty water and garbage.,roads
"Construction waste has been dumped near the main road, blocking a drain.",roads
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
Illegal parking at a residential colony is causing severe traffic jams.,other
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
Garbage has not been collected from the temple for a week.,garbage
Garbage not collected from station for 7 days,garbage
A burst water pipeline has created a massive pothole at the main road.,water
Construction material has been left blocking the road at the hospital.,roads
The road surface is badly damaged near the bus station.,roads
Drainage system blocked causing foul smell at main road,other
Broken speed breaker near lane,roads
A burst water pipeline has created a massive pothole at the main road.,water
"Construction waste has been dumped near the school, blocking a drain.",roads
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
An open manhole at the park is a major safety risk.,other
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
"Construction waste has been dumped near the station, blocking a drain.",roads
Street light not working in temple,electricity
Constant water leakage has completely destroyed the road near the hospital.,water
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
The dustbin near a residential colony is overflowing with rubbish.,garbage
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
Garbage has not been collected from the temple for night.,garbage
Workers fixing a power line have dug up the footpath at the main road and left it.,electricity
There has been no drinking water in the temple since yesterday.,water
Construction material has been left blocking the road at the main road.,roads
"A fallen street light damaged the pavement at the main road, blocking traffic.",electricity
"Construction waste has been dumped near the market, blocking a drain.",roads
No drinking water in bus stand,water
Open manhole near colony,other
We suspect sewage is mixing with the water supply in the main road.,water
Piles of rubbish are blocking the school.,garbage
Workers fixing a power line have dug up the pavement at the hospital and left it.,electricity
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
No electricity since evening in colony,electricity
Piles of trash are blocking the market.,garbage
Park lights not working properly in main road,other
"A fallen street light damaged the footpath at the park, blocking traffic.",electricity
A burst water pipeline has created a massive pothole at the station.,water
"A fallen street light damaged the footpath at the park, blocking traffic.",electricity
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
Constant water leakage has completely destroyed the road near the school.,water
A burst water pipeline has created a massive pothole at the park.,water
"Construction waste has been dumped near the school, blocking a drain.",roads
Stray animals are scattering refuse all over the hospital.,garbage
Illegal parking next to the overflowing dustbin at the park is creating a huge mess.,other
Construction material blocking road at market,roads
The street light at the market has not been working since 2 days.,electricity
A broken speed breaker at the market is causing accidents.,roads
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
Garbage not collected from hospital for 5 days,garbage
Frequent power cut in hospital,electricity
An open manhole at the school is a major safety risk.,other
Noise pollution issue near temple,other
Stray animals are scattering waste all over the temple.,garbage
A burst water pipeline has created a massive pothole at the station.,water
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
Constant water leakage has completely destroyed the footpath near the school.,water
A burst water pipeline has created a massive pothole at the hospital.,water
No electricity since night in bus stand,electricity
Park lights not working properly in temple,other
Garbage not collected from school for 2 days,garbage
Water supply has stopped since night in colony,water
"Construction waste has been dumped near the park, blocking a drain.",roads
The dustbin near the bus station is overflowing with refuse.,garbage
Open manhole near market,other
A large pothole at the school is filled with dirty water and garbage.,roads
Construction material has been left blocking the road at the market.,roads
The road surface is badly damaged near the temple.,roads
Illegal parking causing traffic jam at hospital,other
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
We suspect sewage is mixing with the water supply in the bus station.,water
Open manhole near main road,other
"A fallen street light damaged the footpath at the market, blocking traffic.",electricity
"A fallen street light damaged the pavement at the market, blocking traffic.",electricity
A burst water pipeline has created a massive pothole at the hospital.,water
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
There is a serious noise pollution issue near a residential colony.,other
"Construction waste has been dumped near the park, blocking a drain.",roads
A large pothole at the school is filled with dirty water and garbage.,roads
The street light at the main road has not been working since evening.,electricity
A large pothole at the market is filled with dirty water and garbage.,roads
Piles of rubbish are blocking the temple.,garbage
Road completely flooded after rain in park,roads
Piles of waste are blocking the park.,garbage
The street light at the school has not been working since evening.,electricity
There has been no drinking water in the park since yesterday.,water
Exposed electric wires are a hazard at the market.,electricity
Illegal parking causing traffic jam at colony,other
There has been no drinking water in the park since evening.,water
"Construction waste has been dumped near the main road, blocking a drain.",roads
Piles of rubbish are blocking the hospital.,garbage
Open manhole near bus stand,other
There has been no drinking water in the school since night.,water
Open manhole near station,other
The street light at a residential colony has not been working since a week.,electricity
Constant water leakage has completely destroyed the pavement near the school.,water
Garbage has not been collected from a residential colony for evening.,garbage
"A fallen street light damaged the footpath at the main road, blocking traffic.",electricity
No electricity since afternoon in lane,electricity
Piles of refuse are blocking the market.,garbage
The street light at the hospital has not been working since morning.,electricity
The dustbin near the main road is overflowing with refuse.,garbage
The stench from the uncollected garbage and blocked drain at the school is unbearable.,garbage
Garbage scattered on road near lane,garbage
Constant water leakage has completely destroyed the pavement near the main road.,water
Water supply has stopped since morning in colony,water
No drinking water in market,water
Stray animals are scattering rubbish all over the temple.,garbage
The tap water supplied to the market is muddy and smells bad.,water
Water supply has stopped since night in market,water
There has been no drinking water in the hospital since evening.,water
Piles of refuse are blocking the school.,garbage
Broken speed breaker near temple,roads
Constant water leakage has completely destroyed the pavement near the market.,water
Stray animals are scattering refuse all over the market.,garbage
Garbage not collected from lane for 3 days,garbage
Road completely flooded after rain in school,roads
A burst water pipeline has created a massive pothole at the park.,water
Illegal parking next to the overflowing dustbin at the school is creating a huge mess.,other
A large pothole at the station is filled with dirty water and garbage.,roads
Park lights not working properly in market,other
"A fallen street light damaged the pavement at the station, blocking traffic.",electricity
Garbage scattered on road near colony,garbage
A large pothole at the school is filled with dirty water and garbage.,roads
No electricity since evening in school,electricity
The dustbin near the hospital is overflowing with rubbish.,garbage
"A fallen street light damaged the road at the hospital, blocking traffic.",electricity
The tap water supplied to the park is muddy and smells bad.,water
There has been no drinking water in the school since 2 days.,water
The tap water supplied to the main road is muddy and smells bad.,water
The dustbin near the hospital is overflowing with trash.,garbage
Workers fixing a power line have dug up the pavement at the hospital and left it.,electricity
An open manhole at the bus station is a major safety risk.,other
Workers fixing a power line have dug up the road at the main road and left it.,electricity
Stray animals are scattering waste all over the main road.,garbage
A large pothole at the main road is filled with dirty water and garbage.,roads
The pavement is badly damaged near the main road.,roads
Water supply has stopped since morning in main road,water
Noise pollution issue near colony,other
The dustbin near the main road is overflowing with trash.,garbage
"A fallen street light damaged the footpath at the market, blocking traffic.",electricity
A transformer is sparking dangerously near the main road.,electricity
No electricity since yesterday in station,electricity
Potholes on the main road at main road causing accidents,roads
No electricity since morning in lane,electricity
"Construction waste has been dumped near the market, blocking a drain.",roads
Transformer sparking at night near temple,electricity
Garbage not collected from station for 4 days,garbage
There has been no drinking water in the main road since night.,water
There has been no drinking water in the market since yesterday.,water
There has been no drinking water in the market since evening.,water
There has been no drinking water in the hospital since a week.,water
The road surface is badly damaged near the school.,roads
Garbage has not been collected from the school for morning.,garbage
"A fallen street light damaged the road at the school, blocking traffic.",electricity
Water supply has stopped since yesterday in lane,water
Transformer sparking at night near station,electricity
No electricity since morning in park,electricity
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
There has been no drinking water in the bus station since night.,water
Stray animals are scattering waste all over the school.,garbage
Illegal parking causing traffic jam at temple,other
A burst water pipeline has created a massive pothole at the hospital.,water
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
A burst water pipeline has created a massive pothole at the hospital.,water
Stray animals are scattering refuse all over the park.,garbage
Constant water leakage has completely destroyed the footpath near the main road.,water
Stray animals are scattering trash all over the park.,garbage
A large pothole at the market is filled with dirty water and garbage.,roads
The dustbin near the school is overflowing with waste.,garbage
The footpath is badly damaged near the school.,roads
The footpath is badly damaged near the park.,roads
Constant water leakage has completely destroyed the footpath near the station.,water
Street light not working in school,electricity
A burst water pipeline has created a massive pothole at the station.,water
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
Drainage system blocked causing foul smell at school,other
A large pothole at the hospital is filled with dirty water and garbage.,roads
Garbage scattered on road near main road,garbage
We suspect sewage is mixing with the water supply in the temple.,water
Electric wires hanging dangerously at station,electricity
Electric wires hanging dangerously at school,electricity
Constant water leakage has completely destroyed the pavement near the main road.,water
The dustbin near the market is overflowing with refuse.,garbage
No electricity since evening in main road,electricity
The dustbin near the school is overflowing with rubbish.,garbage
The drainage system at the market is completely blocked.,other
Stray animals are scattering waste all over the hospital.,garbage
The dustbin near the temple is overflowing with waste.,garbage
The dustbin near the hospital is overflowing with refuse.,garbage
The footpath is badly damaged near the temple.,roads
A large pothole at the market is filled with dirty water and garbage.,roads
Garbage has not been collected from the main road for 2 days.,garbage
No electricity since morning in main road,electricity
The street light at the park has not been working since morning.,electricity
Workers fixing a power line have dug up the road at the station and left it.,electricity
Park lights not working properly in bus stand,other
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
Construction material has been left blocking the road at the school.,roads
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
Illegal parking causing traffic jam at bus stand,other
Illegal parking causing traffic jam at station,other
The street light at the hospital has not been working since evening.,electricity
A broken speed breaker at the temple is causing accidents.,roads
Garbage has not been collected from the market for morning.,garbage
The dustbin near the bus station is overflowing with trash.,garbage
Garbage has not been collected from the market for yesterday.,garbage
The street light at the school has not been working since morning.,electricity
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
Exposed electric wires are a hazard at the bus station.,electricity
A large pothole at the school is filled with dirty water and garbage.,roads
Stray animals pulling out garbage at temple,garbage
Open manhole near hospital,other
The road surface is badly damaged near the main road.,roads
A burst water pipeline has created a massive pothole at the park.,water
Frequent power cut in market,electricity
The pavement is badly damaged near the bus station.,roads
